Source,Title,Location,Phone
https://www.apartments.com/chicago-il/,The Heron,"5440 N Sheridan Rd, Chicago, IL 60640",(224) 505-8692
https://www.apartments.com/chicago-il/,Ravenswood Terrace,"1801 W Argyle St, Chicago, IL 60640",(224) 328-3751
https://www.apartments.com/chicago-il/,Eight Eleven Uptown,"811 W Agatite Ave, Chicago, IL 60640",(224) 344-2484
https://www.apartments.com/chicago-il/,Spoke,"728 N Morgan St, Chicago, IL 60642",(708) 725-1565
https://www.apartments.com/chicago-il/,Roosevelt Collection Lofts,"1135 S Delano Ct, Chicago, IL 60605",(708) 725-0904
https://www.apartments.com/chicago-il/,Niche 905,"905 N Orleans St, Chicago, IL 60610",(312) 564-4568
https://www.apartments.com/chicago-il/,The Elle Apartments,"801 S Financial Pl, Chicago, IL 60605",(312) 248-7124
https://www.apartments.com/chicago-il/,HIGHPOINT Lincoln Park on Clark,"2050 N Clark St, Chicago, IL 60614",(708) 775-2751
https://www.apartments.com/chicago-il/,369 Grand by Onni,"369 W Grand Ave, Chicago, IL 60654",(224) 470-7402
https://www.apartments.com/chicago-il/,The Ardus,"676 N La Salle Dr, Chicago, IL 60654",(708) 919-3408
https://www.apartments.com/chicago-il/,1225 Old Town,"1225 N Wells St, Chicago, IL 60610",(708) 775-3873
https://www.apartments.com/chicago-il/,Aberdeen East,"171 N Aberdeen St, Chicago, IL 60607",(708) 695-6136
https://www.apartments.com/chicago-il/,The Jax,"1220 W Jackson Blvd, Chicago, IL 60607",(708) 498-3446
https://www.apartments.com/chicago-il/,927 W. Irving Park,"927 W Irving Park Rd, Chicago, IL 60613",(872) 246-7764
https://www.apartments.com/chicago-il/,Atwater Apartments,"355 E Ohio St, Chicago, IL 60611",(708) 725-1327
https://www.apartments.com/chicago-il/,1407 on Michigan,"1407 S Michigan Ave, Chicago, IL 60605",(708) 919-2789
https://www.apartments.com/chicago-il/,The Teller House,"4753 N Broadway St, Chicago, IL 60640",(224) 529-0625
https://www.apartments.com/chicago-il/,Uptown Regency - 5050 N Sheridan Rd,"5050 N Sheridan Rd, Chicago, IL 60640",(224) 344-2998
https://www.apartments.com/chicago-il/,Nevele22 - 1122 W Chicago,"1122 W Chicago Ave, Chicago, IL 60642",(773) 900-4766
https://www.apartments.com/chicago-il/,1100 N Dearborn St,"1100 N Dearborn St, Chicago, IL 60610",(708) 628-6889
https://www.apartments.com/chicago-il/,215 West Apartments,"215 W Washington St, Chicago, IL 60606",(708) 665-2657
https://www.apartments.com/chicago-il/,Gateway West Loop,"11 S Green St, Chicago, IL 60607",(708) 303-6734
https://www.apartments.com/chicago-il/,Union West,"939 W Washington Blvd, Chicago, IL 60607",(708) 919-2651
https://www.apartments.com/chicago-il/,Parkline Chicago,"60 E Randolph St, Chicago, IL 60601",(312) 757-7714
https://www.apartments.com/chicago-il/,The Erikson,"3728 N Lake Shore Dr, Chicago, IL 60613",(844) 319-6025
https://www.apartments.com/chicago-il/,Scio at the Medical District,"901 S Ashland Ave, Chicago, IL 60607",(708) 938-3138
https://www.apartments.com/chicago-il/,Park Dearborn,"1260 N Dearborn St, Chicago, IL 60610",(708) 683-4418
https://www.apartments.com/chicago-il/,The Belmont by Reside,"3170 N Sheridan Rd, Chicago, IL 60657",(708) 919-2700
https://www.apartments.com/chicago-il/,3450 N. Lake Shore Drive,"3450 N Lake Shore Dr, Chicago, IL 60657",(708) 725-0602
https://www.apartments.com/chicago-il/,Porte,"855 W Madison St, Chicago, IL 60607",(708) 316-9329
https://www.apartments.com/chicago-il/,4102 N Sheridan Rd,"4102 N Sheridan Rd, Chicago, IL 60613",(877) 919-3982
https://www.apartments.com/chicago-il/,The Van der Rohe,"2933 N Sheridan Rd, Chicago, IL 60657",(708) 725-1923
https://www.apartments.com/chicago-il/,One East Delaware,"1 E Delaware Pl, Chicago, IL 60611",(708) 303-8965
https://www.apartments.com/chicago-il/,2950 North Sheridan,"2950 N Sheridan Rd, Chicago, IL 60657",(708) 613-8619
https://www.apartments.com/chicago-il/,Verdant Apartments,"830 N Milwaukee Ave, Chicago, IL 60642",(708) 316-9336
https://www.apartments.com/chicago-il/,Than Tower,"343 W Schiller St, Chicago, IL 60610",(312) 445-2069
https://www.apartments.com/chicago-il/,The Duncan,"1515 W Monroe St, Chicago, IL 60607",(708) 853-5901
https://www.apartments.com/chicago-il/,The Oliver on LaSalle,"1140 N Lasalle St, Chicago, IL 60610",(708) 919-3423
https://www.apartments.com/chicago-il/,1000M,"1000 S Michigan Ave, Chicago, IL 60605",(312) 564-5012
https://www.apartments.com/chicago-il/,The Clark Gold Coast,"1201 N Clark St, Chicago, IL 60610",(833) 322-5291
